date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:16	129612/129612	---M--	200	added ('OK')	application/octet-stream	etag:%2261a38aab-1fa4c%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:17	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261a38aab-8654%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:18	694583/694583	---M--	200	added ('OK')	image/svg+xml	etag:%2261a38aab-a9937%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:18	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261a38aab-8654%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot?	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:19	13552/13552	---M--	200	added ('OK')	font/woff2	etag:%2261a38aab-34f0%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:20	16804/16804	---M--	200	added ('OK')	font/woff	etag:%2261a38aab-41a4%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:21	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%2261a38aab-852c%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:23	144451/144451	---M--	200	added ('OK')	image/svg+xml	etag:%2261a38aab-23443%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:24	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261a38aab-2d968%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:25	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261a38aab-2d968%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot?	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:25	74256/74256	---M--	200	added ('OK')	font/woff2	etag:%2261a38aab-12210%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:27	96256/96256	---M--	200	added ('OK')	font/woff	etag:%2261a38aab-17800%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:29	186444/186444	---M--	200	added ('OK')	application/octet-stream	etag:%2261a38aab-2d84c%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
14:38:29	70/70	---MC-	400	error ('Bad%20Request')	application/json	date:Tue,%2030%20Apr%202024%2007:38:30%20GMT	https://my.its.ac.id/authorize?response_type=code%26redirect_uri=https%3A%2F%2Fmy.its.ac.id%2Fsso%2Fauth%26client_id=8F7FA330-B0AF-4D91-9EC4-1A4182336EEC%26nonce=73d0e3ae396f6bd6e4f380a7afba71ad%26state=44d5a3ef92a73c505f4499f504ad6894%26scope=openid+integra+profile+email+phone+group+role+resource	my.its.ac.id/authorize.21f4d1.delayed	(from https://my.its.ac.id//)
14:38:30	816926/816926	---M--	200	added ('OK')	image/svg+xml	etag:%2261a38aab-c771e%22	https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	(from https://my.its.ac.id/assets/plugins/@fortawesome/fontawesome-free/css/all.min.css)
