LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:46,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-53,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
2024-05-21 12:57:47,1900-01-00 00:00:00,,F8:89:D2:EC:8F:F9,-54,,0.000000,0.000000,0.000,0.000,Client
